feature,level,meaning,implementation_expression,availability,role
survival_fraction,worker_crop_task,survival fraction,"remaining / max(1, q)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
next_decay_offset,worker_crop_task,next decay offset,offset,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
harvest_before_first_decay,worker_crop_task,harvest before first decay,int(offset < 0 or travel <= offset),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
arrival_slack_to_refresh,worker_crop_task,arrival slack to refresh,night - travel - 1,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
sale_slack_to_terminal,worker_crop_task,sale slack to terminal,718 - sale,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
crop_age_days,worker_crop_task,crop age days,obs['day'] - tile['planted_day'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
ongoing_crop,worker_crop_task,ongoing crop,int(p['ongoing']),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
future_production_events,worker_crop_task,future production events,"future_events(tile, obs['day'], game.CROPS)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
watered_today,worker_crop_task,watered today,int(tile['watered_today']),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
dry_streak,worker_crop_task,dry streak,tile['consecutive_unwatered'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
fertilized_today,worker_crop_task,fertilized today,int(tile['fertilized_until_day'] >= obs['day']),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
own_shed_same_product,worker_crop_task,own shed same product,"shed.get(tile['crop'], 0)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
own_carried_same_product,worker_crop_task,own carried same product,carried,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
own_shed_free,worker_crop_task,own shed free,"max(0, 100 - sum(shed.values()))",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
relative_value_reduction,worker_crop_task,relative value reduction,"(q - remaining) / max(1, q)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
task_rows,state_summary,task rows,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
same_day_task_rows,state_summary,same day task rows,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
decay_exposed_rows,state_summary,decay exposed rows,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
zero_at_arrival_rows,state_summary,zero at arrival rows,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
season_feasible_rows,state_summary,season feasible rows,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
current_worker_count,state_summary,current worker count,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
unique_ready_plants,state_summary,unique ready plants,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
max_travel,state_summary,max travel,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
max_value_loss,state_summary,max value loss,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
mean_value_loss,state_summary,mean value loss,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
fraction_decay_exposed,state_summary,fraction decay exposed,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
total_ready_units_unique,state_summary,total ready units unique,extract() in arrival_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
