round,level,feature,definition,availability,role,status
20,worker_option,dry_or_unfed_streak,Dry or unfed streak; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,already_serviced,Already serviced; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,wheat_required,Wheat required; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,worker_wheat,Worker wheat; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,shed_wheat,Shed wheat; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,resource_available,"True for WATER; for FEED requires wheat in this worker inventory, not merely in the shed.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,next_production_scheduled,Next production scheduled; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,nominal_next_yield,Conditional next scheduled production if necessary maintenance now succeeds; not future realized income.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,held_units,Held units; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,held_quote_value,Held quote value; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,production_capacity,Production capacity; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,production_headroom,Production headroom; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,future_events_in_season,"Nominal remaining recurring production dates through day 29, conditional on survival.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,own_worker_count,Own worker count; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,alternative_ready_workers,Other current workers that can reach the task by refresh and already have required resources.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,nearest_other_ready_travel,Minimum distance among resource-ready alternative workers; -1 if none.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,exclusive_ready_access,No other resource-ready worker can finish before refresh; diagnostic only.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,urgency_multiplier,N / (N - distance) for admitted critical jobs; exactly 1 otherwise.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,reference_denominator,Original 1 + outbound distance.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,candidate_denominator,The sole denominator used by the intervention; see formula in FEATURE_RESEARCH.md.,Current own public/private state and fixed default engine constants only,Intervention denominator,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,score_multiplier,"Candidate score divided by the unchanged native score; activation diagnostic, not importance.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,eligible_critical_job,"Current survival risk, admitted deadline, resource support and same-day feasibility all hold.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,task_options,"Worker-task pairs, not independent observations or distinct resources.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,unique_tasks,"Distinct current (x,y,operation) tasks, avoiding worker duplication.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,worker_count,Worker count; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,critical_options,Critical options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,eligible_critical_options,Eligible critical options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,unreachable_options,Unreachable options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,resource_blocked_options,Resource blocked options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,exclusive_access_options,Exclusive access options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,minimum_critical_slack,Minimum critical slack; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,mean_critical_slack,Mean critical slack; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,mean_score_multiplier,Mean score multiplier; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,state_summary,max_score_multiplier,Max score multiplier; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
