table,feature,units,definition,availability,adoption_status
plant,current_quote,coins per unit,Public current price; not a guaranteed future liquidation price.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,next_units_delta_quote_value,coins scenario,"Next-refresh unit difference times current quote; ignores price impact, delivery, and subsequent decisions.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,decay_ticks_until_refresh,decay phases,Exact remaining alternating decay phases given current lifespan; zero when refresh is unavailable.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,current_holding_cap,product units,"Pinned crop max_yield, a storage/yield ceiling rather than realized future production.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,next_production_headroom,product units,"Positive difference between max_yield and visible current held yield, before any later harvest or decay.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,plant_count,plants,Current own PLANT tiles.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,unwatered_plants,plants,Current own PLANT tiles not watered today.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,defer_eligible_plants,plants,"Count eligible for the defined conditional deferral, not actual deferred actions.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,survival_critical_plants,plants,Unwatered plants with current dry streak at least one.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,immediate_bonus_plants,plants,Plants with positive immediate WATER bonus.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,production_bonus_plants,plants,Plants with positive next-refresh units and no survival gain; includes persistence of immediate units.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,deferred_next_day_tasks,plants,Plants whose eligible deferral creates a one-day dry streak after the refresh.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,workers,workers,Main farmer plus every current hired hand.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,worker_actions_until_refresh,worker callbacks,Workers times hours to refresh; optimistic capacity excluding travel and other task requirements.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,unwatered_tasks_per_worker,plants per worker,Unwatered plants divided by current workers.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
state,deferred_tasks_per_worker,plants per worker,Eligible-for-deferral plants divided by current workers; not assigned route load.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
