feature,scope,family,role,availability,qualification,evidence_gate
renewal_eligible,plant,renewal_opportunity,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
replacement_seed_available,plant,renewal_opportunity,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
replacement_seed_cost,plant,renewal_opportunity,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
replacement_first_sale_step_lower_bound,plant,renewal_opportunity,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
replacement_sale_horizon_feasible,plant,renewal_opportunity,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
plants,state,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
ongoing_plants,state,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
empty_exhausted_plants,state,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
redundant_water_jobs,state,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
renewal_eligible_plots,state,renewal_opportunity,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
scheduled_future_events,state,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
mature_units_held,state,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
current_workers,state,access_and_expiry,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
