round,level,feature,definition,availability,role,status
21,worker_option,hours_left,Hours left; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,decisions_left,Decisions left; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,arrival_today,Arrival today; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,delivery_before_refresh,Delivery before refresh; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,terminal_slack,Terminal slack; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,shed_free,Shed free; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,own_carried_units,Own carried units; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,same_product_in_shed,Same product in shed; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,own_worker_count,Own worker count; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,alternative_worker_count,Alternative worker count; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,nearest_other_travel,Nearest other travel; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,exclusive_access,Exclusive access; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,one_sided_liquidation,Standalone sale path using current market inventory and floor semantics; not a competitor-aware prediction.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,worker_option,conditional_value_per_callback,"Current one-sided liquidation value divided by earliest sale completion callbacks, assuming successful future delivery.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,task_options,"Worker-task pairs, not independent observations or distinct resources.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,unique_tasks,"Distinct current (x,y,operation) tasks, avoiding worker duplication.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,worker_count,Worker count; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,collection_candidates,Collection candidates; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,night_delivery_options,Night delivery options; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,manual_delivery_options,Manual delivery options; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,unavailable_options,No admitted same-day manual or next-callback-after-reset sale path.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,mean_completion_callbacks,Mean completion callbacks; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,mean_score_multiplier,Mean score multiplier; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,min_score_multiplier,Min score multiplier; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,positive_stock_options,Positive stock options; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,state_summary,capacity_stress_options,Current collection units exceed snapshot shed room; future capacity is not predicted.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
21,task,peer_option_count,Number of same-worker collection options in the current observation.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,peer_best_cash_rate,Maximum conditional_value_per_callback among the same-worker collection options.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,peer_best_other_cash_rate,Largest other-option conditional cash rate; zero when no other option exists.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,cash_rate_gap_to_best,Best in-scope conditional cash rate minus this option rate.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,cash_rate_competition_rank,One plus the number of strictly larger conditional rates; ties share a rank.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,completion_effort_over_fastest,Candidate completion denominator minus the fastest in-scope denominator.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,return_share_of_manual_effort,Return travel divided by complete direct-delivery effort; not realized routing cost.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,manual_night_both_available,One only when both manual and overnight sale scenarios are available.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,night_minus_manual_sale_offset,Night sale offset minus manual sale offset; zero when either is unavailable; read the mask.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,carried_and_task_above_current_shed_room,Positive excess of this worker cargo plus task goods over current free shed space; no multiworker allocation assumed.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,current_shed_stock_to_task_ratio,Current same-product shed stock divided by positive task quantity.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
21,task,conditional_cash_rate_share,Option conditional cash rate divided by summed in-scope rates; zero for zero total; not a probability.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
